filename,npz,num_speakers
ulriv.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ulriv.wav.npz,5
yuzyu.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/yuzyu.wav.npz,2
jgiyq.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/jgiyq.wav.npz,9
jbowg.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/jbowg.wav.npz,13
pzxit.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/pzxit.wav.npz,7
cobal.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/cobal.wav.npz,2
kefgo.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/kefgo.wav.npz,5
sbrmv.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/sbrmv.wav.npz,3
qsfzo.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/qsfzo.wav.npz,2
lscfc.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/lscfc.wav.npz,7
jsmbi.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/jsmbi.wav.npz,5
ldkmv.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ldkmv.wav.npz,5
qfdpp.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/qfdpp.wav.npz,4
laoyl.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/laoyl.wav.npz,2
kckqn.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/kckqn.wav.npz,3
crorm.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/crorm.wav.npz,2
zajzs.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/zajzs.wav.npz,2
xlyov.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/xlyov.wav.npz,1
uhfrw.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/uhfrw.wav.npz,8
oqwpd.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/oqwpd.wav.npz,4
bxpwa.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/bxpwa.wav.npz,5
xvllq.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/xvllq.wav.npz,3
jjvkx.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/jjvkx.wav.npz,6
yfcmz.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/yfcmz.wav.npz,4
pgtkk.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/pgtkk.wav.npz,9
ydlfw.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ydlfw.wav.npz,6
upshw.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/upshw.wav.npz,7
tiido.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/tiido.wav.npz,2
plbbw.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/plbbw.wav.npz,2
gtnjb.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/gtnjb.wav.npz,13
imbqf.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/imbqf.wav.npz,5
iwdjy.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/iwdjy.wav.npz,3
epdpg.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/epdpg.wav.npz,12
qzwxa.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/qzwxa.wav.npz,2
jcako.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/jcako.wav.npz,3
ybhwz.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ybhwz.wav.npz,8
atgpi.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/atgpi.wav.npz,1
wspbh.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/wspbh.wav.npz,6
ygrip.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ygrip.wav.npz,7
uatlu.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/uatlu.wav.npz,3
jhdav.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/jhdav.wav.npz,5
mbzht.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/mbzht.wav.npz,5
lpola.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/lpola.wav.npz,3
ralnu.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ralnu.wav.npz,8
dxokr.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/dxokr.wav.npz,4
mpvoh.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/mpvoh.wav.npz,2
ampme.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ampme.wav.npz,3
rmvsh.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/rmvsh.wav.npz,2
ehpau.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ehpau.wav.npz,3
kzmyi.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/kzmyi.wav.npz,8
wlfsf.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/wlfsf.wav.npz,11
ztzzr.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ztzzr.wav.npz,1
bspxd.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/bspxd.wav.npz,3
hgeec.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/hgeec.wav.npz,7
lkikz.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/lkikz.wav.npz,2
aisvi.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/aisvi.wav.npz,8
iiprr.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/iiprr.wav.npz,7
praxo.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/praxo.wav.npz,2
tguxv.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/tguxv.wav.npz,6
crylr.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/crylr.wav.npz,4
iqbww.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/iqbww.wav.npz,3
rtvuw.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/rtvuw.wav.npz,3
jyirt.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/jyirt.wav.npz,4
cadba.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/cadba.wav.npz,7
ezxso.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ezxso.wav.npz,10
pxqme.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/pxqme.wav.npz,1
ppexo.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ppexo.wav.npz,1
msbyq.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/msbyq.wav.npz,4
lubpm.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/lubpm.wav.npz,2
mupzb.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/mupzb.wav.npz,2
swbnm.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/swbnm.wav.npz,7
euqef.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/euqef.wav.npz,1
fyqoe.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/fyqoe.wav.npz,3
uicid.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/uicid.wav.npz,1
ypwjd.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ypwjd.wav.npz,4
vdlvr.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/vdlvr.wav.npz,4
cwbvu.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/cwbvu.wav.npz,10
kmunk.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/kmunk.wav.npz,2
epygx.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/epygx.wav.npz,8
ifwki.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ifwki.wav.npz,2
afjiv.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/afjiv.wav.npz,5
eziem.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/eziem.wav.npz,8
bdopb.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/bdopb.wav.npz,7
vgevv.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/vgevv.wav.npz,11
falxo.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/falxo.wav.npz,8
wcxfk.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/wcxfk.wav.npz,3
jzkzt.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/jzkzt.wav.npz,11
kuduk.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/kuduk.wav.npz,5
vmaiq.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/vmaiq.wav.npz,17
aiqwk.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/aiqwk.wav.npz,7
nqyqm.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/nqyqm.wav.npz,8
rxgun.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/rxgun.wav.npz,8
xlsme.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/xlsme.wav.npz,6
mxduo.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/mxduo.wav.npz,10
kmjvh.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/kmjvh.wav.npz,8
dxbbt.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/dxbbt.wav.npz,3
bydui.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/bydui.wav.npz,3
ccokr.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ccokr.wav.npz,5
whmpa.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/whmpa.wav.npz,2
xqxkt.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/xqxkt.wav.npz,7
ktzmw.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ktzmw.wav.npz,4
esrit.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/esrit.wav.npz,5
fqrnu.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/fqrnu.wav.npz,4
ktvto.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ktvto.wav.npz,9
ytula.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/ytula.wav.npz,7
zztbo.wav,/Users/hooyar/Desktop/Projects/Python/CMPT310-Project/features/seq/zztbo.wav.npz,1
